uuid,mtgo,mtgoFoil,paper,paperFoil
000031ff-f095-52c5-98a1-35bdb5e18a5b,0.0,0.0,0.0,0.0
0001fc69-3a61-51e3-aa17-19abb29803f2,0.0,0.0,0.0,0.0
00028782-6ec2-54fe-8633-2c906d8f1076,0.0,0.0,0.15,0.0
00040b50-3b84-5cea-b663-70038b87fa08,0.01,0.02,0.16,0.45
000473fc-c380-58ef-a52e-c745b880b0c2,0.0,0.0,0.0,0.0
0005e7e7-fe15-5acb-89aa-adacf0481952,0.01,0.01,0.12,0.78
00087aa5-4199-58ba-8e06-7acb796060cb,0.01,0.34,0.02,0.09
0008b776-44af-5d76-835b-692458848052,0.0,0.0,0.13578947368421052,0.0
000cdbc5-3c5b-5bb6-b7db-49bf40a5d14f,0.04,0.06,0.21,0.0
000e2312-4558-53c6-af9a-cd4199304cf7,0.04,0.32,0.08,0.25
000e47b7-d761-5b00-b32f-bb17b60b19be,0.045,0.0,0.0,0.0
000e9743-2e9f-5595-8a25-1191c7fc59e9,0.0,0.0,0.13,0.0
000fe405-3f92-546a-97a0-c7eb2c88b7c4,0.0,0.0,1.55,0.0
0010f1d2-afa7-5efe-becc-d6eac411e816,0.0,0.0,0.0,0.51
00139963-e8b8-5b02-a0a6-5fcdc215f51f,0.02,0.0,0.17,0.0
00141b3e-ccfd-5a78-a2d7-8156ca88ca96,0.06,0.26,2.7800000000000002,14.95
00146a3c-53c0-561c-ba57-0ebd9876eb57,0.02,0.08,2.85,12.75
00154bfc-bc93-55c4-a2cb-0c33a2f68d65,0.0,0.0,0.0,0.0
0016480b-035c-542d-a9d1-1bd824a5dae6,0.03,0.01,0.04,0.09
00177f04-58c8-5a7c-8f83-6175b6482f40,0.0,0.0,0.0,0.0
0018480d-8174-5976-90b0-9323cf297b2d,0.0,0.0,0.0,0.0
001a3adc-7a1f-528e-9058-bf583e9d3729,0.03,0.01,0.09,0.37
001c0c3a-8114-564c-99f0-0ad3a5cdcd61,0.01,0.13,0.09,0.34
001d0853-bf7f-5be5-bfb8-d4114f3a53c7,0.11,0.16,1.05,3.26
001fdbb1-bb67-5c9f-89d4-e5394a44a415,1.3306250000000002,0.0,0.0,0.0
00205972-7dfb-5c93-8296-091af94d22f1,0.01,0.01,0.08,0.1
00206dc7-f7d1-5c9f-b29a-2b1f04d03692,0.03,0.02,0.03,0.19
0021b006-96f4-597f-9a6c-79f102eeb15b,0.01,0.1,0.2,0.0
0023f3b8-5c96-569e-8371-30f094814dad,0.0,0.0,0.24,0.0
0023f81f-e305-565b-b775-25fc2cea6954,0.0,0.0,0.0,0.0
0024c9c6-623b-5d28-8198-76cce6eaa1c1,0.0,0.0,0.0,0.0
0025e67b-5041-5db5-8aa0-b2adceb6eacd,0.0,0.0,0.0,0.2
002688ac-e3a4-5bc4-a612-8d0d91de9b75,0.03,0.03,0.11,1.57
002995e8-3c81-54f4-ba93-0b0b64c2f758,0.0,0.0,0.12,0.0
002ad4bf-8219-590c-b271-9272f3f9ebe8,0.0297777777777778,0.0,0.0,0.0
002b7975-72f3-5825-ad24-3960d53887f5,0.03,0.58,0.18,0.46
002ca814-c13f-50ae-a453-5d413b4d0fc4,0.03,0.5,0.05,0.26
002caf05-1da9-593c-a6c3-824817ff5208,0.06,0.84,5.96,32.05
002ce20a-a78f-5add-9d5f-96a99cc67323,0.015,0.0,0.0,0.0
002e6438-65e7-5131-816d-c3eed3600123,0.01,0.01,0.07,0.34
002f0f83-16b1-5f96-a704-fdb65b5936e8,0.0,0.0,0.88,0.0
002fcac9-6633-5bb0-bab0-57a920ce7d56,0.030000000000000016,0.020000000000000004,0.10473684210526316,0.23578947368421055
002ff8e2-fbf4-500f-822a-326613b2859a,0.06212765957446807,0.0,0.0,0.0
0031ddeb-a9dc-5cc5-8811-79b14a7a2ccb,0.04,0.05,0.12,0.0
00339221-517e-5083-90fc-a65a724864db,0.04,0.03,0.13,0.42
00350343-bcd9-5a0c-972b-7c02f02926b1,0.01,0.01,0.05,0.23
00359c5d-c907-56ca-b831-0b239eab1d48,0.0,0.0,0.0,0.0
00360c6f-46d2-530b-b990-b6447fd1ab12,0.0,0.0,0.99,0.0
00370b75-dc20-5827-a0fe-28faf3fefe0e,0.02,0.01,0.08,0.62
00388d67-7d0e-5ae6-8c39-49cfd15deacf,0.04,0.01,0.11,0.18
0038ef2e-93ff-5270-8b39-9ea49f9505d3,0.02,0.02,0.08,0.0
003b8845-21f5-5758-a2b1-ad3e18a50fef,0.01,0.02,0.12,0.0
003f7d58-d112-50ff-a8c2-58dd7c19a54a,0.0,0.0,0.0,0.0
0040933c-2ac1-5025-a242-dd4717185b43,0.0,0.0,0.09,0.0
00428bd3-0fa1-5e09-b7de-2804b8a0175c,0.0,0.0,0.0,0.0
0042e3f9-a98d-53cc-ba78-ce282e7bba54,0.01,0.02,0.1,0.34
0044b50a-0034-5a8a-b0ca-98ede225bb83,0.010000000000000002,0.02272727272727273,0.3321052631578948,8.601052631578945
0045a565-35fb-5da5-a97e-6c6f98be99ff,0.01,0.01,0.06,0.12
00485f39-b513-5bda-9dfa-2d1543b6f366,0.0,0.0,0.0,1.09
00494ae5-6d50-5366-979e-a2cf1d164cd8,0.026551724137931047,1.6365517241379304,4.18421052631579,33.97789473684211
004a815b-f62b-532c-b7ff-d2224bbdf6cf,0.0,0.0,0.71,0.0
004d40c5-e506-54af-91cd-71621c4dcd9d,0.0,0.0,0.0,0.0
004ea957-6268-5e4f-a3ae-491accf62761,0.04,0.01,0.08,0.22
004fcfe5-fc9c-550e-81b5-025e8e9d68b4,0.0,0.0,0.0,0.0
00512a1c-990c-58b1-a0ea-443ab087b3c0,0.01,0.04,0.31,1.6400000000000001
0052a6c6-4279-5c04-8d20-9c9893d2aa26,0.02,0.61,2.89,5.61
0056d6e4-cfd9-5b94-b36c-798ac3ce8899,0.03,0.30000000000000004,3.77,10.65
00574b2a-ccb0-5ceb-ae66-673d973c1360,0.01,0.30000000000000004,0.11,0.44
005a975d-6519-5feb-817a-9b606684a171,0.03,0.01,0.09,0.25
005cc47d-3192-5b04-aac3-98e31b940824,0.02,0.03,0.07,0.09
005d8d50-4a03-5f9f-9ede-07b0255f3f5c,0.03,0.02,0.11,0.93
005dd423-17ae-5370-b550-a9a10fe2e53d,0.05,0.02,0.33,1.04
005e2dbf-08bb-5683-ad46-325b08e2340c,0.03966666666666669,0.0476666666666667,0.0,0.0
006085a6-f164-5e4b-807a-6a8e916e1564,0.0,0.0,0.0,0.0
0060d559-cdc2-5042-8e70-02ddba41b351,1.18,0.0,3.95,0.0
00622bc8-187d-5dd9-97d9-d9063eec7c84,0.0,0.0,0.32,0.0
006265cd-6956-5de0-beb1-6a609d01ed52,0.0,0.0,1.73,0.0
006292e3-e1d5-5c19-b3dc-1cc0174a2380,0.03,0.65,0.2,0.71
0062a781-25c5-58d1-8b19-1690c15319e6,0.01,0.68,0.1,0.29
006358ad-4e4e-5fcd-8ad5-3e79ea72c5cf,0.0,0.0,0.0,4.39
